StateAb,Affiliation,DrivAge,ExposTotal,SumInsAvg
SP,1,36-45,218.15,23926.94
SP,1,36-45,3.4,45511.58
SP,1,46-55,0.5,16391.66
SP,1,26-35,0.15,99214.3
SP,1,26-35,2.19,36458.48
SP,1,46-55,0.47,77706
SP,1,26-35,0.5,9608.5
SP,1,NA,0,0
SP,1,36-45,1.2,35787.64
SP,0,46-55,0.17,27480
SP,1,>55,4.03,63049.53
SP,1,36-45,55.35,119946.52
SP,1,>55,0.66,18002.15
SP,1,>55,0.15,37980
SP,0,46-55,0.48,130110
SP,1,18-25,0.87,64218.3
SP,1,26-35,0.87,0
SP,0,NA,0.5,38518
SP,1,46-55,0.23,45780.99
SP,1,36-45,2.09,31739.26
SP,1,>55,0.5,10260.99
SP,1,46-55,0.5,123840
SP,NA,>55,0.24,56489
SP,1,46-55,0.5,18223.99
SP,1,26-35,1.33,50732.53
SP,1,>55,5.06,21939.5
SP,1,36-45,0.01,120715.99
SP,0,NA,0.36,0
SP,1,26-35,14.74,28091.96
SP,0,18-25,0.24,22083.36
SP,1,36-45,4.68,46458.7
SP,1,26-35,0.15,18171
SP,0,>55,1.51,61269.71
SP,1,18-25,0.16,114057
SP,1,18-25,0.5,22354.05
SP,1,>55,0.47,60382.45
SP,1,26-35,17.19,30280.31
SP,1,46-55,2.01,46488.85
SP,1,>55,0.5,17628
SP,1,46-55,0.29,35517.99
SP,1,26-35,0.91,16635.23
SP,1,46-55,4.8,77315.92
SP,1,>55,0.26,53321.71
SP,1,36-45,1.73,57518.08
SP,1,>55,0.17,66540
SP,1,18-25,0.46,19309.99
SP,0,36-45,0.24,52577.99
SP,0,36-45,0.81,29596.43
SP,1,46-55,3.98,29858.94
SP,1,46-55,0.86,17868.11
SP,1,>55,5.28,6588.46
SP,1,46-55,0.5,10338.22
SP,1,46-55,4.06,52982.76
SP,1,26-35,1.07,115188.09
SP,1,26-35,0.24,14370.99
SP,1,36-45,0.5,32275.02
SP,1,>55,0.41,15700.99
SP,1,46-55,0.04,156386.99
SP,0,NA,0.17,149500
SP,1,46-55,0.5,8936.14
SP,1,36-45,1.2,21242.53
SP,0,NA,0.04,33967
SP,1,>55,213.52,22123.37
SP,1,26-35,4.95,44402.96
SP,0,NA,0.5,122404
SP,1,18-25,0.5,28045.57
SP,1,26-35,3.63,24260.59
SP,1,>55,0.5,60543.75
SP,0,>55,2.9,27753.92
SP,1,46-55,3.63,18512.92
SP,1,26-35,1.74,65838.66
SP,1,18-25,0.75,31776.2
SP,1,36-45,6.5,91909.7
SP,1,>55,1.01,40077.4
SP,1,18-25,9.26,23079.11
SP,1,>55,3.35,13910.83
SP,0,26-35,2.97,34476.17
SP,1,46-55,0.91,19576.72
SP,1,36-45,0.94,20204.03
SP,NA,46-55,0.5,47236.99
SP,1,26-35,8.56,36080.64
SP,1,36-45,0.17,34372
SP,1,36-45,0.65,23888.13
SP,1,>55,3.57,27572.02
SP,NA,NA,0,0
SP,0,NA,0.5,0
SP,1,46-55,14.16,12954.52
SP,1,36-45,0.47,8832
SP,1,18-25,0.5,20886.99
SP,0,NA,0.33,10378.99
SP,1,>55,3.43,25965.01
SP,1,36-45,6.1,12193.88
TO,1,18-25,0.5,29735
SP,1,>55,22.49,26668.39
SP,0,46-55,1.09,32539.74
SP,0,26-35,1.65,70193.36
SP,1,26-35,4.13,26862.73
SP,0,NA,0.03,386213
SP,1,46-55,16.57,39092.12
SP,NA,26-35,0,0
TO,0,NA,0.08,202563.98
SP,1,>55,0.4,27182.99
SP,0,36-45,0.48,34589
SP,1,26-35,0.27,141921.99
SP,0,36-45,0.5,23423.7
SP,0,NA,0.25,260683
SP,1,>55,0.5,21618
SP,1,18-25,0.75,7062.28
SP,0,26-35,0.5,65225
SP,1,46-55,0.5,0
SP,1,36-45,5.68,46067.37
SP,1,36-45,0.5,123444.2
SP,1,26-35,0.11,15077
SP,1,36-45,0.3,31983
SP,0,NA,5.55,95465.75
SP,1,46-55,0.5,83230
SP,1,26-35,0.5,17343.94
SP,1,18-25,0.88,15894.59
SP,0,46-55,0.5,113302.99
TO,1,>55,0.21,27262
SP,1,46-55,0.5,18746.15
SP,0,36-45,0.5,35112.99
SP,1,26-35,0.5,12068.99
SP,1,36-45,2.47,60168.01
SP,1,>55,4.86,36181.25
SP,1,26-35,0.27,67675
SP,1,26-35,1.64,16267.21
SP,1,46-55,4.45,14654.75
SP,1,36-45,5.11,34791.01
SP,NA,NA,0,0
SP,1,26-35,172.62,27652.64
SP,1,>55,0.5,98350
SP,1,26-35,1.35,5305.5
SP,1,18-25,0.04,41478.99
SP,1,26-35,343.35,27338.44
SP,0,46-55,0.5,17274.99
SP,0,36-45,16.89,10782.2
SP,1,18-25,0.77,22935.4
SP,1,>55,0.5,35220.99
SP,1,36-45,1.47,36314.09
SP,0,36-45,0.5,75385
TO,1,26-35,0.23,34018.54
SP,0,>55,2.83,35521.59
SP,1,36-45,0.47,30503.57
SP,1,26-35,0.5,45198.02
SP,0,26-35,0.5,0
SP,1,36-45,6.65,24082.04
TO,0,NA,0.5,16064
SP,1,26-35,1.17,19621.73
SP,1,NA,0,0
SP,1,18-25,0.5,22833
SP,1,36-45,0.02,108911.99
SP,1,26-35,5.8,16339.28
SP,1,>55,12.7,27704.07
SP,NA,46-55,0.5,118210
SP,1,26-35,1,30941
SP,1,36-45,1.75,33812.99
SP,1,46-55,0.5,14354
SP,1,36-45,2.52,43921.6
SP,1,18-25,0.18,34948
SP,0,26-35,0.24,7064.99
SP,1,>55,0.06,26488
SP,1,46-55,1.78,26852.96
TO,1,36-45,0.51,26668.25
SP,0,36-45,0.5,142733
SP,1,>55,0.97,11358.78
SP,1,>55,2.53,113563.09
SP,1,26-35,7.44,33853.01
SP,1,26-35,18.87,24177.21
SP,1,18-25,0.32,31264.99
TO,1,>55,0.4,26535.99
SP,0,46-55,0.5,11703
SP,1,26-35,0.5,29745.6
SP,1,>55,0.29,20401.99
SP,1,36-45,1.4,85211.88
SP,1,18-25,0.35,44244.46
SP,1,>55,0.5,51614
SP,1,46-55,37.41,23701.44
SP,NA,NA,0,0
SP,0,NA,0.84,41612.3
SP,1,36-45,0.03,60294
SP,1,>55,0.33,42018.99
SP,1,26-35,1,204378
SP,1,18-25,0.38,49678.14
SP,0,46-55,0.14,293122
SP,0,NA,0.5,0
TO,1,46-55,0.51,51634.77
SP,0,46-55,0.5,17358.03
SP,1,46-55,6.78,54146.4
SP,1,46-55,1.34,69929.19
SP,0,NA,7.13,32885.48
SP,NA,NA,0,0
SP,1,36-45,0.5,0
SP,1,46-55,2.4,27518.44
SP,1,26-35,40.01,10318.79
SP,0,NA,0.26,38750
SP,1,46-55,0.91,22607.44
SP,1,46-55,0.68,53528.95
SP,1,36-45,22.12,19560.74
SP,1,46-55,0.21,0
SP,1,>55,2.01,42141.81
SP,1,>55,8.92,29297.14
SP,0,>55,0.5,89578.99
SP,1,36-45,0.36,31717.99
TO,1,26-35,8.32,27696.43
SP,1,36-45,0.27,51708
SP,1,26-35,0.61,33432.8
SP,1,46-55,0.87,22612.42
SP,1,36-45,1.51,19858.5
TO,1,26-35,0.32,53787.99
SP,1,26-35,0.5,45045
SP,1,>55,0.5,14006
SP,1,>55,0.5,158266.99
SP,1,>55,0.04,15920.99
SP,1,26-35,3.21,20514.23
SP,0,36-45,2.34,145146.62
SP,1,NA,0,0
SP,1,26-35,1,15495
SP,0,36-45,0.63,69341.01
SP,1,26-35,5.1,21024.57
SP,1,>55,0.19,31493
SP,1,26-35,0.27,32581
TO,1,46-55,0.01,56056.99
SP,0,NA,4.42,19367.43
SP,1,36-45,6.17,43639.23
SP,0,>55,0.06,43540.99
SP,1,46-55,0.5,100476.48
SP,0,NA,25.43,26881.92
SP,1,18-25,0.41,50590.99
SP,1,46-55,0.77,16688.56
SP,1,36-45,18.66,84664.5
SP,1,>55,1,17479
SP,0,36-45,0.16,35041.99
SP,1,46-55,0.73,76176.7
SP,1,36-45,0.07,22779
SP,1,36-45,0.01,0
SP,0,NA,0.73,0
SP,1,46-55,1,46523.5
SP,1,26-35,1.05,32827.06
SP,1,46-55,0.25,30552
SP,0,36-45,0.5,129455
SP,1,>55,1.89,44999.33
SP,1,36-45,13.19,17623.82
SP,1,26-35,0.8,43117.61
SP,1,>55,0.5,32681
SP,1,26-35,11.32,21770.88
TO,1,18-25,0.41,28983
SP,1,36-45,0.5,19674
SP,1,46-55,3.1,30899.85
SP,1,26-35,0.86,10496.26
SP,1,>55,0.72,44903.86
SP,1,46-55,0.5,21911
SP,1,36-45,29.83,43255.46
SP,1,26-35,0.29,12233.99
SP,1,26-35,0.73,79719.34
SP,1,18-25,0.44,67582.99
SP,1,>55,0.09,25833
SP,1,46-55,4.5,54827.03
SP,1,18-25,10.49,17218.82
SP,1,36-45,1.05,22317.48
TO,1,26-35,1.51,21499
SP,1,46-55,0.77,22261.64
SP,1,36-45,0.23,87282
SP,0,NA,8.92,22450.36
SP,0,NA,0.5,48425
SP,1,18-25,4.76,44190.67
SP,0,26-35,0.21,53072.99
SP,NA,NA,0.17,44401.99
SP,1,>55,17.24,27752.81
SP,NA,46-55,0,0
SP,1,46-55,5.04,175941.21
SP,0,18-25,0.5,0
SP,1,46-55,3.98,27692.5
SP,1,46-55,0.04,42353.99
SP,1,46-55,0.5,94521
SP,1,26-35,11.87,30220.41
SP,1,>55,1.83,35905.75
SP,1,26-35,6.12,6824.91
SP,1,>55,0,0
SP,1,26-35,1.2,65492.58
SP,0,46-55,1.01,55860.79
SP,1,>55,4.47,25089.94
SP,1,26-35,0.04,391135.99
SP,1,46-55,132.72,34741.78
SP,0,46-55,0.36,71200
SP,1,36-45,3.1,20910.44
SP,1,36-45,0.5,6558.99
SP,0,NA,0.2,24084.99
SP,1,36-45,2.39,116506.17
SP,0,>55,0.5,40967.19
SP,NA,>55,0.5,48539
SP,0,NA,1.46,13484.53
SP,0,NA,3.55,23555.32
SP,1,26-35,1,0
SP,1,36-45,0.5,33702.99
SP,1,36-45,0.5,12462.03
SP,0,NA,0.54,91443
SP,1,>55,1.82,120444.7
SP,1,46-55,1.32,83680.96
SP,1,26-35,0.04,0
SP,1,26-35,0.23,120499.99
SP,NA,36-45,0.5,104223
SP,1,46-55,44.02,32823.81
SP,1,>55,0.5,34829
SP,NA,NA,11.71,62771.95
SP,1,36-45,0.5,11196
SP,0,36-45,0.2,14404
SP,1,46-55,0.5,45325.99
SP,1,46-55,0.29,35428
SP,1,46-55,2.87,32089.47
SP,1,>55,1,13345.5
SP,1,36-45,42.66,28139.41
SP,1,>55,1.39,22113.86
SP,1,18-25,2.01,29526.98
SP,1,46-55,0.5,31248
TO,1,36-45,2.64,35562.72
SP,0,NA,3.05,45123.44
TO,1,26-35,1.11,34972.7
SP,1,>55,3.24,28515.91
SP,0,>55,0.5,33812
SP,1,>55,0.1,95009.99
SP,NA,26-35,0.5,27262
SP,1,36-45,0.5,0
SP,1,26-35,0.4,63632.99
SP,1,36-45,241.71,27404.96
SP,1,36-45,0.21,29132
SP,1,36-45,1.51,9098.79
SP,NA,>55,0.38,22399.99
SP,1,>55,0.54,58066.38
SP,1,26-35,3.84,152081.64
SP,1,26-35,1,17723.49
SP,0,36-45,1.4,49458.36
TO,1,46-55,0.14,15109.99
SP,NA,>55,0.38,98373
SP,1,46-55,0.06,39023.99
SP,1,36-45,0.23,56640.99
SP,1,>55,24.67,8436.7
SP,0,>55,0.69,38241.03
SP,0,NA,1.12,96386.39
SP,1,26-35,5.75,33174.93
SP,NA,>55,0.45,33052.66
SP,1,>55,0.85,33843.5
SP,1,>55,3.35,36400.48
SP,1,>55,0.5,13968.99
SP,1,36-45,0.47,31667.99
SP,1,36-45,0.5,40886.99
SP,1,36-45,0.5,6699
SP,NA,NA,0,0
SP,0,46-55,0.5,72612.13
SP,1,18-25,0.61,159149
SP,1,46-55,9.1,54919.01
SP,0,NA,2.01,23491.63
SP,1,>55,0.18,18016.99
SP,1,36-45,3.6,38577.24
SP,1,>55,0.5,159569.7
SP,1,46-55,4.47,33585.55
SP,1,26-35,0.32,88524
SP,1,18-25,0.24,7233
TO,1,46-55,0.17,14862.99
SP,1,>55,0.46,29228
SP,1,36-45,0.5,69847.99
SP,1,46-55,2.76,37186.93
SP,1,46-55,0.8,31948.84
SP,0,26-35,0.19,78656.99
SP,1,>55,0.16,12130.99
SP,0,NA,0.5,65765
SP,1,36-45,0.11,26440
SP,1,36-45,0.5,59725.99
SP,1,26-35,0.5,37446
SP,0,26-35,1.01,33992.8
SP,1,36-45,8.96,48559.42
SP,1,26-35,10.69,21115.93
SP,1,46-55,0.36,264417.99
SP,NA,NA,0,0
SP,1,18-25,2.4,4350.67
SP,1,>55,10.07,20669.9
SP,1,36-45,7.3,58753.49
SP,1,>55,0.44,23029.59
SP,1,36-45,1.8,27020.03
SP,1,26-35,8.72,12073.56
SP,1,>55,0.5,40648.99
SP,1,36-45,1.24,62541.37
SP,0,46-55,0.77,11053.44
SP,1,>55,1.01,28282.44
SP,1,>55,0.33,9916
SP,1,36-45,0.5,20268
SP,1,>55,0.39,7215.13
SP,1,>55,0.35,50944.4
SP,0,18-25,0.5,46648
SP,1,36-45,3.36,45893.86
SP,1,18-25,0.46,0
SP,1,46-55,0.33,41440.82
SP,1,26-35,1.11,55401.88
TO,1,>55,2.87,27418.1
SP,0,NA,0.5,48853.09
SP,1,46-55,0.36,18684
SP,1,36-45,0.47,55149
SP,0,46-55,0.5,18813.7
SP,1,>55,20.66,33518.95
TO,1,26-35,0.97,27575
SP,1,>55,0.12,13291
SP,1,36-45,0.04,32489.06
SP,1,36-45,9.7,47318.09
SP,0,>55,0.5,21988
SP,1,18-25,2.59,35474.26
SP,0,46-55,0.01,18651
SP,1,46-55,1.88,7439.5
SP,1,26-35,2.89,13876.73
SP,1,46-55,0.62,244311.78
SP,1,46-55,2.82,24396.23
SP,0,NA,4.46,43483.23
SP,1,36-45,15.29,28000.37
SP,NA,NA,1.51,13070.86
SP,NA,NA,0,0
SP,1,26-35,0.5,9623.99
SP,NA,NA,1.04,12865.65
SP,0,26-35,0.18,55979.99
SP,0,NA,7.04,36947.69
SP,1,26-35,10.15,30274.56
SP,1,>55,0.11,14809.99
SP,1,46-55,0.5,117430
SP,1,26-35,0.56,22353.73
SP,1,26-35,0.08,38783
SP,1,46-55,18.26,28320.95
SP,1,36-45,0.5,65520.99
TO,1,>55,0.5,133189.3
SP,1,26-35,0.36,93961
SP,1,26-35,0.14,29900
SP,1,>55,0.34,52999.36
TO,1,36-45,1.83,37504.1
SP,1,46-55,25.11,15327.86
SP,0,26-35,1,35724.5
SP,0,26-35,0.2,36133
SP,0,36-45,0.89,79935.57
SP,1,36-45,87.41,37874.4
SP,1,36-45,5.65,33766.31
TO,1,36-45,3.41,25943.01
SP,0,NA,1.01,89703.66
TO,1,26-35,0.5,18084.99
SP,0,36-45,2.66,13566.72
SP,1,46-55,1.01,17391.2
SP,0,>55,1.6,42118.34
SP,1,18-25,0.5,18538.11
SP,0,>55,1.52,42147.88
SP,1,26-35,0.5,41721
SP,0,46-55,0.5,23859.99
TO,1,46-55,0.52,57891.99
SP,1,>55,1.85,23603.72
SP,0,18-25,0.97,44229.64
SP,1,26-35,4.4,29720.94
SP,1,46-55,22.14,26700.47
TO,1,>55,0.29,14624.99
SP,1,26-35,18.77,33406.31
SP,1,18-25,0.46,19829.99
SP,1,36-45,0.76,29598.03
SP,1,46-55,4.95,18503.46
SP,1,36-45,0.3,79788.69
SP,1,26-35,3.53,21329.19
SP,1,36-45,0.11,19809
SP,1,>55,0.5,19894.4
SP,NA,26-35,0.06,29345
SP,1,46-55,0.03,211750
SP,1,18-25,0.46,25542
SP,1,36-45,3.53,28964.14
SP,1,46-55,0.09,33705
SP,1,46-55,0.39,14071.99
SP,0,26-35,0.05,43490
SP,1,46-55,18.21,16986.52
SP,1,46-55,1.89,30968.14
SP,1,46-55,0.5,0
SP,1,46-55,0.5,34945
SP,1,46-55,6.32,49793.38
SP,1,36-45,70.64,20437.47
SP,0,NA,0.06,0
SP,0,NA,0.5,51135.67
SP,1,46-55,5.01,24530.07
SP,1,>55,0.5,24661.99
SP,1,18-25,0.62,61309.72
SP,1,>55,3.45,46779.37
SP,1,>55,0.5,60733.99
SP,1,36-45,2.36,32409.39
SP,1,36-45,13.48,28244.23
SP,1,26-35,2.45,39473.92
SP,1,36-45,1.36,38554.28
SP,1,>55,0.03,14598
SP,1,36-45,0.5,8280.99
SP,1,46-55,3.39,8832.97
SP,1,18-25,0.24,39386
SP,0,NA,0.88,4688.89
SP,1,46-55,6.32,29397.53
SP,0,36-45,11.96,13115.65
SP,1,18-25,0.46,27516.99
SP,0,46-55,0.09,26953.99
SP,1,36-45,1.24,44628.56
SP,1,36-45,44.65,37893.36
SP,1,26-35,0.5,24049
SP,1,36-45,0.46,37789
SP,1,26-35,9.26,4166.82
SP,0,NA,0.8,13966.98
SP,1,26-35,26.41,59033.71
SP,1,36-45,0.13,45199.21
SP,1,36-45,2.58,23654.88
SP,1,46-55,0.5,38384.56
SP,1,46-55,0.73,251499.68
SP,1,18-25,1.72,57904.63
SP,NA,26-35,0,0
SP,0,NA,1.34,108973.18
SP,0,NA,0.7,46805.55
SP,1,26-35,47.64,20666.47
SP,NA,NA,0,0
SP,1,>55,355.69,29317.53
SP,0,26-35,1.84,99675.15
SP,NA,26-35,0,0
SP,1,36-45,0.33,139999.99
SP,1,36-45,5.59,20457.67
SP,0,26-35,0.19,19162.99
SP,1,26-35,6.27,31772.56
SP,1,46-55,0.5,111547
SP,1,18-25,0.06,4922
SP,1,18-25,0.24,29898
TO,1,>55,0.5,241068.6
SP,0,NA,0.5,90127.27
SP,0,>55,1.17,14686.84
SP,1,18-25,0.5,44479.99
SP,1,46-55,0.5,320075.01
SP,1,46-55,0.5,39955.78
SP,0,46-55,4.42,31799.28
SP,1,36-45,0.77,16821.26
SP,1,46-55,1,18827
SP,1,46-55,3.9,39114.42
SP,1,36-45,1.21,50691.19
SP,1,>55,11.96,19904.87
SP,0,NA,0.5,18718.99
SP,1,36-45,3.12,128812.63
SP,1,36-45,0.78,15316.76
SP,1,36-45,0.1,29510
SP,1,>55,7.44,45497.54
SP,1,>55,0.07,24377.99
SP,1,36-45,0.82,50444.32
SP,1,46-55,0.04,227735.99
SP,1,36-45,26.2,26359.92
SP,1,>55,0.51,132280.71
SP,1,26-35,2.44,28863.83
SP,0,46-55,0.67,31718.5
SP,1,>55,2.01,12249.87
SP,1,46-55,16.18,25884.65
TO,1,>55,0.5,33007
SP,0,46-55,0.07,0
SP,1,>55,1.01,55274.73
SP,1,>55,0.15,26229
SP,1,46-55,0.5,76583.99
SP,1,46-55,0.5,25529
SP,1,18-25,0.4,4795
SP,1,26-35,0.45,11426.99
SP,1,>55,0.83,97077.51
SP,0,36-45,0.19,70498.9
SP,0,36-45,1.54,23952.23
SP,1,26-35,6.8,31067.85
SP,0,26-35,0.002739726,58141
SP,0,>55,0.5,84095.7
SP,1,46-55,0.05,29559.99
SP,1,26-35,3.03,84559.64
SP,1,46-55,13.61,30140.08
SP,NA,26-35,0.06,68649
SP,NA,36-45,0.19,20000
SP,1,>55,16.17,12536.27
SP,1,26-35,3.03,32198.91
SP,1,36-45,0.96,66013.41
SP,1,18-25,78.01,20654.43
SP,0,46-55,4.64,35442.96
SP,0,26-35,0.91,47623.88
SP,0,36-45,0.22,0
SP,1,18-25,23.44,19945.81
SP,1,46-55,15.55,24404.32
SP,1,46-55,18.06,20402.18
TO,0,36-45,0.5,73548.99
SP,0,36-45,0.79,14172.53
SP,1,>55,7.23,16359.95
SP,1,18-25,0.43,17249.99
SP,1,36-45,0.5,24769
SP,0,NA,1.31,25337.67
SP,1,26-35,1.86,57755.34
SP,NA,NA,0,0
SP,1,36-45,0.33,29134.99
SP,0,26-35,1,105865.27
SP,1,26-35,2.17,13005.69
SP,1,46-55,3.22,23850.73
SP,NA,26-35,0,0
SP,1,>55,0.04,54393
SP,1,46-55,0.5,46396
SP,1,26-35,0.83,21800.91
SP,0,>55,0.5,76639
SP,1,26-35,0.15,115299.99
SP,0,NA,0.5,66660
SP,1,26-35,4.83,23702.33
SP,1,46-55,0.5,20050.99
SP,1,46-55,0.5,31452.72
SP,1,46-55,2.02,4945.41
SP,1,26-35,0.1,588330.98
SP,1,26-35,2.32,15662.29
SP,1,18-25,4.05,35791.53
SP,0,>55,0.05,112396
SP,1,46-55,1.51,33286.02
SP,0,26-35,8.63,80459.43
SP,0,NA,0.5,6053.64
SP,1,>55,1.35,27069.02
SP,0,36-45,0.5,40110.18
SP,0,NA,1.09,69599.42
SP,0,NA,0.31,75323
SP,1,46-55,14.65,16551.77
SP,1,18-25,0.46,0
SP,1,>55,3.72,30991.73
SP,1,46-55,2.28,19815.48
SP,1,18-25,0.01,41853.99
SP,NA,46-55,0.5,22628.99
SP,0,NA,1.51,80814.99
SP,1,36-45,0.68,38602.16
SP,0,18-25,0.5,0
